_id,type,file_url,yoruba_text,audio_gender,source,file_type,file_size,english_text,duration,translation_verified,uploaded_by,uploaded_date
67387c1c45317b996fc3f602,annotations,,"torí pé opó yìí ò yéé yọ mí lẹ́nu, màá rí i dájú pé a dá ẹjọ́ rẹ̀ bó ṣe tọ́, kó má bàa máa pa dà wá ṣáá, kí ọ̀rọ̀ rẹ̀ má bàa sú mi torí ohun tó ń béèrè.",,Bible,text,,"because this widow keeps making me trouble, I will see that she gets justice so that she will not keep coming and wearing me out with her demand.",,True,Alaran,
67387c1c45317b996fc3f619,annotations,,"Àmọ́ tí a bá tan wòlíì náà, tó sì fún un lésì, èmi Jèhófà ló tàn án.",,Bible,text,,"But if the prophet is fooled and gives a response, it is I, Jehovah, who have fooled that prophet.",,True,Alaran,
67387c1c45317b996fc3f61a,annotations,,"Méjìlá ni mẹfà lápá ọ̀tún, mẹfà lápá òsì; ọmọdé sì ní mẹ́wàá márùn-ún, márùn-ún.",,Bible,text,,"There are twelve six on the right, six on the left; and the child has ten five, five.",,True,Alaran,
67387c1c45317b996fc3f61c,annotations,,"Éfúrémù, ìwọ yóò di ohun àríbẹ̀rù ní ọjọ́ ìjìyà.",,Bible,text,,"O Eʹphra·im, you will become an object of horror in the day of punishment.",,True,Alaran,
67387c1c45317b996fc3f5ec,annotations,,"Nígbà náà, màá ṣí abẹ́ rẹ̀ síta lójú àwọn olólùfẹ́ rẹ̀ àtàtà, Ẹnì kankan ò sì ní lè gbà á lọ́wọ́ mi.",,Bible,text,,"Now I will expose her private parts in full view of her passionate lovers, And no man will rescue her out of my hand.",,True,Alaran,
67387c1c45317b996fc3f5f2,annotations,,"Pẹ̀yìndà kí o ríṣe èké, fara pamọ́ kí o rí bí aṣení ti ń sọ.",,Bible,text,,Turn your back you and you will discover how the deceitful person behaves; hide and you will find out what the detractor is saying.,,True,Alaran,
67387c1c45317b996fc3f615,annotations,,"Nígbà tí Réṣẹ́lì rí i pé òun ò bí ọmọ kankan fún Jékọ́bù, ó bẹ̀rẹ̀ sí í jowú ẹ̀gbọ́n rẹ̀, ó sì ń sọ fún Jékọ́bù pé: Fún mi ní ọmọ, àìjẹ́ bẹ́ẹ̀, màá kú.",,Bible,text,,"When Rachel saw that she had borne no children to Jacob, she became jealous of her sister and began to say to Jacob: Give me children or else I will die.",,True,Alaran,
67387c1c45317b996fc3f616,annotations,,"Tí o bá ń mú ẹ̀bùn rẹ bọ̀ níbi pẹpẹ, tí o sì rántí níbẹ̀ pé arákùnrin rẹ ní ohun kan lòdì sí ọ.",,Bible,text,,"If, then, you are bringing your gift to the altar and there you remember that your brother has something against you.",,True,Alaran,
67387c1c45317b996fc3f649,annotations,,"Torí náà, Jónà gbéra, ó sì lọ sí Nínéfè, bí Jèhófà ṣe sọ fún un.",,Bible,text,,So Joʹnah got up and went to Ninʹe·veh in obedience to the word of Jehovah.,,True,Alaran,
67387c1c45317b996fc3f639,annotations,,Ìró àwọn orílẹ̀-èdè máa dà bí ariwo omi púpọ̀.,,Bible,text,,The nations will make a sound like the roar of many waters.,,True,Alaran,
