_id,type,file_url,yoruba_text,audio_gender,source,file_type,file_size,english_text,duration,translation_verified,uploaded_by
67387c1c45317b996fc3fa26,annotations,,"Ilé Ẹjọ́ náà tún rí i pé Àjọ Tó Ń Rí sí Ọ̀rọ̀ Ìlú fi ẹ̀tọ́ táwọn ará wa ní lábẹ́ òfin dù wọ́n, tó fi mọ́ òmìnira láti ṣe ẹ̀sìn wọn tàbí ohun tí wọ́n gbà gbọ́.",,Bible,text,,"It also found that the City Council had violated the brothers’ fundamental rights, including the freedom to manifest one’s religion or beliefs.",,True,Alaran
67387c1c45317b996fc3f9eb,annotations,,Kò sí èrè nínúu Gba owó kà.,,Bible,text,,There is no profit in Take this money and count it for me.,,True,Alaran
67387c1c45317b996fc3f9f0,annotations,,"Ìjì líle náà ṣọṣẹ́ lọ́nà tó le gan-an ní erékùṣù Barbuda, bí ìdajì àwọn tó ní ilé ní erékùṣù náà ni kò nílé lórí mọ́.",,Bible,text,,"The island of Barbuda was especially hard hit by the storm, with an estimated 50 percent of the island’s residents left homeless.",,True,Alaran
67387c1c45317b996fc3f9f4,annotations,,Oṣù February ni ilé ẹjọ́ rán Arákùnrin Christensen lẹ́wọ̀n.,,Bible,text,,The results of this case are already being reported on by international media outlets.,,True,Alaran
67387c1c45317b996fc3fa05,annotations,,"Ṣẹ́kẹ́ṣẹkẹ̀ dára, ṣùgbọ́n alágbẹ̀dẹ ò rọ ọ́ fún ọmọ ẹ̀.",,Bible,text,,"Handcuffs are pretty, but the blacksmith does not fashion them for his own child.",,True,Alaran
67387c1c45317b996fc3fa13,annotations,,"Bí a bá sọ̀rọ̀ tán, ẹrín là ń rín; bí a bá yó tán orun ní ń kunni.",,Bible,text,,"When one is done discussing a matter one laughs, when one is satiated sleep claims one.",,True,Alaran
67387c1c45317b996fc3fa18,annotations,,"Àmọ́ ohun táwọn ilé ẹjọ́ ilẹ̀ Rọ́ṣíà sábà máa ń ṣe ni ilé ẹjọ́ yìí náà ṣe, wọn ò gba àwọn ẹ̀rí tí kò ṣeé já ní koro táwọn agbẹjọ́rò wa mú wá wọlé, wọn ò sì gbé wọn yẹ̀ wò láti rí i pé Dennis kò mọwọ́mẹsẹ̀.",,Bible,text,,"Thus far, this court has continued the pattern set by other Russian courts, refusing to consider properly what the defense lawyers feel is overwhelming evidence that Dennis is innocent.",,True,Alaran
67387c1c45317b996fc3fa22,annotations,,Arábìnrin yìí máa ń yọ̀ǹda ara rẹ̀ láti ṣisẹ́ pẹ̀lú Ẹ̀ka Tó Ń Yàwòrán Ilé Tó sì Ń Kọ́ Ọ.,,Bible,text,,She also served as a Local/Design Construction volunteer.,,True,Alaran
67387c1c45317b996fc3fa29,annotations,,ÌLÚ NEW YORK— Kárí ayé ni àwọn oníròyìn ti ń sọ nípa wàhálà tó ń bá orílẹ̀-èdè Fẹnẹsúélà nítorí ọrọ̀ ajé tó dẹnu kọlẹ̀.,,Bible,text,,NEW YORK—International media outlets have been reporting on deteriorating conditions in Venezuela set off by economic troubles.,,True,Alaran
67387c1c45317b996fc3fa32,annotations,,"Ṣùgbọ́n, lẹ́yìn tí wọ́n bá ti ya àwọn àwòrán náà tán, wọ́n máa kó àwọn ọ̀rọ̀ọ wọn jẹ, tí wọn ò sì ní kọ́ wa ní àwọn iṣẹ́ ọwọ́ tí wọ́n ṣe ìlérí láti kọ́ wa mọ́.",,Bible,text,,But at the end of the day they will take everything back after snapping the pictures and they will not teach us those skills that they promised again.,,True,Alaran
67387c1c45317b996fc3fa2a,annotations,,"Lẹ́yìn àsọyé yẹn, ọ̀kan lára àwọn dókítà náà sọ pé òun kórìíra àwọn Ẹlẹ́rìí Jèhófà tẹ́lẹ̀, òun sì máa ń ta kò wọ́n tí wọ́n bá ń wàásù.",,Bible,text,,"After the program, one of the doctors admitted that he previously hated Jehovah’s Witnesses and opposed our ministry.",,True,Alaran
67387c1c45317b996fc3fa31,annotations,,"Àmọ́ Baba wa ọ̀run ni gbogbo ọpẹ́ yẹ, torí àtọ̀dọ̀ ẹ̀ ni gbogbo ẹ̀bùn rere ti ń wá.",,Bible,text,,"Of course, we give all praise to our heavenly Father who is the source of all good gifts and presents.",,True,Alaran
