_id,type,file_url,yoruba_text,audio_gender,source,file_type,file_size,english_text,duration,translation_verified,uploaded_by
67387c1c45317b996fc3f265,annotations,,Kò gbọ́dọ̀ ṣẹ́ ìkankan nínú rẹ̀ kù di àárọ̀.,,Bible,text,,He must not save any of it until morning.,,True,Alaran
67387c1c45317b996fc3f269,annotations,,Igbe náà máa yàtọ̀ pátápátá.,,Bible,text,,The shouting will be different shouting.,,True,Alaran
67387c1c45317b996fc3f2a2,annotations,,"Wọ́n ṣe àwọn iṣẹ́ àmì rẹ̀ láàárín wọn, Àwọn iṣẹ́ ìyanu rẹ̀ ní ilẹ̀ Hámù.",,Bible,text,,"They performed his signs among them, His miracles in the land of Ham.",,True,Alaran
67387c1c45317b996fc3f2a5,annotations,,"Ogun ti Ìjọba tuntun ni Nigeria gbé ti iwà ibàjẹ́ lati igbà ti ará ilú ti dibò yan Ìjọba tuntun -Muhammadu  Buhari àti Yẹmi Osinbajo, ni bi ọdún kan sẹhin ni lati jẹ ki àwọn tó hu iwa ibaje jẹ èrè iṣẹ́ ibi, ki wọn si gba owó iwà ibàjẹ́ padà si àpò ilú.",,Bible,text,,"The war that the new government in Nigeria has been fighting against corruption since the people elected the new government -Muhammadu Buhari and Yemi Osinbajo, about a year ago is to make those who commit corruption the reward of evil deeds, and get the proceeds of corruption return to the public purse.",,True,Alaran
67387c1c45317b996fc3f2bd,annotations,,"Bí ọ̀nà àwọn òmùgọ̀ ṣe rí nìyí Àti ti àwọn tó ń tẹ̀ lé wọn, tí inú wọn ń dùn sí ọ̀rọ̀ asán tí wọ́n ń sọ.",,Bible,text,,"This is the way of the stupid ones And of those who follow them, who take pleasure in their empty words.",,True,Alaran
67387c1c45317b996fc3f2cc,annotations,,Ó wà lára àwọn méjìlélógún tí àjọ CAF fòfin dè nínú ìpàdé ìfọ̀wà-ìbàjẹ́-nù tí wọ́n pè lópin ọ̀sè tó kọjá.,,Bible,text,,"He is one of 22 referees sanctioned by the CAF in an unprecedented clean up, announced at the weekend.",,True,Alaran
67387c1c45317b996fc3f22a,annotations,,"Ní apá ìgbẹ̀yìn àwọn ọjọ́, Òkè ilé Jèhófà Máa fìdí múlẹ̀ gbọn-in sórí àwọn òkè, A sì máa gbé e ga ju àwọn òkè kéékèèké lọ, Gbogbo orílẹ̀-èdè á sì máa rọ́ lọ síbẹ̀.",,Bible,text,,"In the final part of the days, The mountain of the house of Jehovah Will become firmly established above the top of the mountains, And it will be raised up above the hills, And to it all the nations will stream.",,True,Alaran
67387c1c45317b996fc3f22f,annotations,,"Nítorí ó sọ fún yìnyín pé, Rọ̀ sórí ayé, Ó sì sọ fún ọ̀wààrà òjò pé, Rọ̀ sílẹ̀ rẹpẹtẹ.",,Bible,text,,"For he says to the snow, Fall to the earth, And to the downpour of rain, Pour down mightily.",,True,Alaran
67387c1c45317b996fc3f243,annotations,,Abiyamọ kì í rìn kó ṣánwọ́ ahá.,,Bible,text,,A nursing mother does not venture away from home without a cup.,,True,Alaran
67387c1c45317b996fc3f248,annotations,,"Ẹ kò gbọ́dọ̀ kọ́ ilé, ẹ kò gbọ́dọ̀ fún irúgbìn, ẹ kò gbọ́dọ̀ gbin ọgbà àjàrà, bẹ́ẹ̀ sì ni ẹ kò gbọ́dọ̀ ní ọgbà àjàrà.",,Bible,text,,"And you must not build a house, sow seed, or plant or obtain a vineyard.",,True,Alaran
67387c1c45317b996fc3f24b,annotations,,"Nítorí pé tí a bá wà láàyè, a wà láàyè fún Jèhófà, tí a bá sì kú, a kú fún Jèhófà.",,Bible,text,,"For if we live, we live to Jehovah, and if we die, we die to Jehovah.",,True,Alaran
67387c1c45317b996fc3f258,annotations,,"Jèhófà ti pàṣẹ nípa rẹ pé, Kò ní sí ẹni tí á máa jẹ́ orúkọ rẹ mọ́.",,Bible,text,,"Jehovah has commanded concerning you, Your name will not be perpetuated further.",,True,Alaran
67387c1c45317b996fc3f25e,annotations,,"Lóòótọ́, Ọlọ́run máa ń ṣe gbogbo nǹkan yìí Fún èèyàn, lẹ́ẹ̀mejì, lẹ́ẹ̀mẹta.",,Bible,text,,"Indeed, God does all these things Twice, three times, for a man.",,True,Alaran
67387c1c45317b996fc3f268,annotations,,"Ohun míì tí wọ́n tún máa bẹ̀rẹ̀ báyìí ni bí wọ́n ṣe máa tún Gbọ̀ngàn Àpéjọ, Gbọ̀ngàn Ìjọba àti ilé àwọn arákùnrin wa kọ́.",,Bible,text,,"The next wave of relief work will focus on reconstructing Assembly Halls, Kingdom Halls, and homes of our brothers.",,True,Alaran
67387c1c45317b996fc3f27d,annotations,,Láti ìparí oṣù April 2019 ni òjò tó rinlẹ̀ tó ń rọ̀ ní Paraguay ti ń mú kí àkúnya omi ṣẹlẹ̀ láwọn agbègbè tó wà ní etí odò Paraguay River.,,Bible,text,,"Since the end of April 2019, heavy rains in Paraguay have caused devastating flooding along the Paraguay River.",,True,Alaran
67387c1c45317b996fc3f280,annotations,,"Ilé Ẹjọ́ Gíga Jù Lọ sì sọ pé àwọn ilé ẹjọ́ kéékèèké yìí tàpá sí Òfin orílẹ̀-èdè Ítálì àti ti European Convention of Human Rights, tó fún aláìsàn kan lẹ́tọ̀ọ́ láti ṣe ìpinnu fúnra ẹ̀.",,Bible,text,,"The Supreme Court ruled that the lower courts violated the Italian Constitution and the European Convention of Human Rights, both of which protect patient autonomy.",,True,Alaran
67387c1c45317b996fc3f299,annotations,,Ísírẹ́lì pàgọ́ síbẹ̀ níwájú òkè náà.,,Bible,text,,Israel camped there in front of the mountain.,,True,Alaran
67387c1c45317b996fc3f29d,annotations,,"Lẹ́yìn náà, mo gbàdúrà sí Jèhófà lẹ́yìn tí mo fún Bárúkù ọmọ Neráyà ní ìwé àdéhùn tí mo fi ra ilẹ̀ náà, mo sọ pé.",,Bible,text,,"Then I prayed to Jehovah after giving the deed of purchase to Barʹuch the son of Ne·riʹah, saying.",,True,Alaran
67387c1c45317b996fc3f2a7,annotations,,kí àlùfáà yẹ̀ ẹ́ wò.,,Bible,text,,the priest will then examine it.,,True,Alaran
67387c1c45317b996fc3f2ad,annotations,,Á máa bójú tó o bí olùṣọ́ àgùntàn ṣe ń bójú tó agbo ẹran rẹ̀.,,Bible,text,,He will watch over him as a shepherd does his flock.,,True,Alaran
67387c1c45317b996fc3f2cf,annotations,,Wọ́n ti ń ṣe àtúnṣe sí ilé alájà mẹ́sàn-án kan tó wà ní ìlú Bologna èyí tí ẹ̀ka máa fi ṣe ọ́fíìsì.,,Bible,text,,Renovations have already begun on a nine-story building in Bologna that will serve as offices for the branch.,,True,Alaran
67387c1c45317b996fc3f2b9,annotations,,"Tímótì, máa ṣọ́ ohun tí a fi sí ìkáwọ́ rẹ, yẹra fún àwọn ọ̀rọ̀ asán tó ń ba ohun mímọ́ jẹ́ àti àwọn ohun tí wọ́n ń fi ẹ̀tàn pè ní ìmọ̀ èyí tó ń ta ko òtítọ́.",,Bible,text,,"Timothy, guard what has been entrusted to you, turning away from the empty speeches that violate what is holy and from the contradictions of the falsely called knowledge.",,True,Alaran
67387c1c45317b996fc3f2e1,annotations,,"Torí náà, nígbà tó jẹ́ pé ìlérí tó ṣe pé a máa wọnú ìsinmi òun ṣì wà, ẹ jẹ́ ká ṣọ́ra, kó má bàa di pé ẹnì kan nínú yín ò kúnjú ìwọ̀n rẹ̀.",,Bible,text,,"Therefore, since a promise of entering into his rest remains, let us be on guard for fear someone among you seems to fall short of it.",,True,Alaran
67387c1c45317b996fc3f30d,annotations,,"Nítorí gbogbo orí ti pá, Gbogbo irùngbọ̀n ni a sì gé mọ́lẹ̀.",,Bible,text,,"For every head is bald, And every beard is clipped.",,True,Alaran
67387c1c45317b996fc3f2ef,annotations,,Ìgbéraga pinu lati padà si ilú rẹ lati gba ogún ti ó tọ́ si lára oko kòkó rẹpẹtẹ ti bàbá rẹ fi silẹ̀.,,Bible,text,,Pride decides to return to his town to get his rightful inheritance from the huge cocoa farm left by his father.,,True,Alaran
67387c1c45317b996fc3f2f7,annotations,,Ìṣòro tó wà pẹ̀lú ìtàn yìí ni wí pé ó tún dàbi ẹni pé wọ́n ń ṣọ́ àwọn tí wọn ò láṣeyọrí tàbí tí wọn ò rí ṣe lọ́nà yẹn.,,Bible,text,,"The problem with this narrative is that it also seems to cast a shadow on those that don't succeed or that don't make it in that way, as less than.",,True,Alaran
67387c1c45317b996fc3f300,annotations,,"Lásìkò tí gómìnà náà ń tọwọ́bọ ìwé àbadòfin fún ètò ìsúná náà, Tambuwal wá gbósùbà fún ilé ìgbìmọ̀ asojú ìpínlẹ̀ náà, tí púpọ̀ nínú wọn jẹ́ ọmọ ẹgbẹ́ alátakò- All Progressive Congress (APC), fún àtìlẹyìn wọn fún ìlọsíwájú ìpínlẹ̀ náà.",,Bible,text,,"Appending his signature to the document, Governor Tambuwal gave kudos to the assembly members, majority of whom belong to the opposition political party- All Progressive Congress (APC), for their patriotism and unflinching commitment to the collective good of the people of the state.",,True,Alaran
67387c1c45317b996fc3f301,annotations,,Ta ní jẹ́ jẹ ọṣẹ kó fògìrì fọṣọ.,,Bible,text,,Who would eat soap and wash clothes with fermented beans.,,True,Alaran
67387c1c45317b996fc3f308,annotations,,"Ìdánilẹ́kọ̀ọ́ náà yóò wáyé kí ọdún yìí tó parí, nítorí a fẹ́ kí àwọn akọ́nimọ̀ọ́gbá wa ní ìmọ̀ ló̩wó̩ló̩wó̩ nínú eré ìdárayá náà, èyí tí á nípa lórí àwo̩n agbábò̩ò̩lù.",,Bible,text,,The training will come up before the end of the year because we need our coaches to have the latest knowledge in the sport which will impact on the players as well.,,True,Alaran
67387c1c45317b996fc3f315,annotations,,"Kí àlùfáà wá mú lára ẹ̀jẹ̀ ẹbọ ẹ̀bi, kó sì fi sí ìsàlẹ̀ etí ọ̀tún ẹni náà tó fẹ́ wẹ ara rẹ̀ mọ́ àti àtàǹpàkò ọwọ́ ọ̀tún rẹ̀ àti àtàǹpàkò ẹsẹ̀ ọ̀tún rẹ̀.",,Bible,text,,"Then the priest will take some of the blood of the guilt offering, and the priest will put it on the right earlobe of the one cleansing himself and on the thumb of his right hand and on the big toe of his right foot.",,True,Alaran
67387c1c45317b996fc3f31b,annotations,,Èpèé pọ̀ ju ohun tó nù; abẹ́rẹ́ sọnù wọ́n lọ gbé Ṣàǹgó.,,Bible,text,,The cursing is far in excess of what is lost; a needle goes missing and the owners invoke Ṣàngó.,,True,Alaran
67387c1c45317b996fc3f2ed,annotations,,"Ṣé ìwọ náà rí i, ṣé o sì ti wá mọ̀ báyìí pé mi ò gbèrò láti ṣe ọ́ ní jàǹbá tàbí kí n dìtẹ̀ sí ọ? Mi ò ṣẹ̀ ọ́, àmọ́ ńṣe ni ò ń dọdẹ mi kiri láti gba ẹ̀mí mi.",,Bible,text,,"You can now see and understand that I do not intend to harm you or to rebel, and I have not sinned against you, whereas you are hunting me down to take my life.",,True,Alaran
67387c1c45317b996fc3f2f2,annotations,,"Ó wá mú ọmọ kékeré kan, ó mú un dúró ní àárín wọn; ó fi ọwọ́ gbá a mọ́ra, ó sì sọ fún wọn pé.",,Bible,text,,"Then he took a young child and stood him in their midst; and putting his arms around him, he said to them.",,True,Alaran
67387c1c45317b996fc3f345,annotations,,"Rohr sò̩rò̩ ò̩hún lé̩yìn ìfe̩sè̩wọnsè̩ ọló̩rè̩é̩jò̩ré̩ tíkò̩ náà pàdánù só̩wó̩ England pè̩lú àmì-ayò kan sí méjì, ó ní kò sí wàhálà kankan pè̩lú as̩o̩lé kí ìdíjé àgbááyé ní Russia tó bè̩rè̩, ó te̩numó̩o̩ pé àwo̩n as̩ó̩lé mé̩ta rè̩ tó gbangba sùn ló̩yé̩ ní Russia.",,Bible,text,,"Speaking after the 1-2 friendly loss against England, Rohr played down talks about a goalkeeper crisis in his team ahead of the start of the World Cup in Russia, insisting that his three goalkeepers are up to the task of doing well in Russia.",,True,Alaran
67387c1c45317b996fc3f34b,annotations,,"Títí di March 11, 2019, ìjọba Rọ́ṣíà ò ṣe nǹkan kan.",,Bible,text,,"The Russian government has until March 11, 2019, to respond.",,True,Alaran
67387c1c45317b996fc3f37b,annotations,,Ó ti wá sí Áyátì; Ó ti gba Mígírónì kọjá; Míkímáṣì ló kó ẹrù rẹ̀ sí.,,Bible,text,,He has come to Aiʹath; He has passed through Migʹron; At Michʹmash he deposits his baggage.,,True,Alaran
67387c1c45317b996fc3f387,annotations,,"Ní gbogbo àkókò yìí, Ámásà ń yí nínú ẹ̀jẹ̀ láàárín ọ̀nà.",,Bible,text,,All the while A·maʹsa was wallowing in his blood in the middle of the road.,,True,Alaran
67387c1c45317b996fc3f39c,annotations,,"Ní tìrẹ, ọba, ohun tó máa ṣẹlẹ̀ lọ́jọ́ iwájú ló wá sí ọ lọ́kàn lórí ibùsùn rẹ, Ẹni tó ń ṣí àwọn àṣírí payá sì ti jẹ́ kí o mọ ohun tó máa ṣẹlẹ̀.",,Bible,text,,"As for you, O king, on your bed your thoughts turned to what is to take place in the future, and the Revealer of secrets has made known to you what is to happen.",,True,Alaran
67387c1c45317b996fc3f3cf,annotations,,Ṣùgbọ́n àwọn enubòdè àríyànjiyàn ìwọlé látókèrè lè di sísún.,,Bible,text,,But the borders of the immigration debate can be moved.,,True,Alaran
67387c1c45317b996fc3f446,annotations,,"Òtútù ò dára fún arúgbó, a fi ti onilé nã bá lówó lati san owó iná ti o gun òkè nitori àti tan ẹ̀rọ-amúlé gbónọ́.",,Bible,text,,"The cold is not good for the old man, so the owner of the house has money to pay the electricity bill which is high because of the heat engine.",,True,Alaran
67387c1c45317b996fc3f452,annotations,,"Ẹ̀ ń gbọ́ tí ẹnì kan ń sọ̀rọ̀, àmọ́ ẹ ò rí ẹnì kankan, ohùn nìkan lẹ̀ ń gbọ́.",,Bible,text,,"You heard the sound of words, but you saw no form—there was only a voice.",,True,Alaran
